NULL,"0207.11.30.00.00","--- Tüyleri yolunmuş,içleri boşaltılmış,baş ve ayakları kesilmiş fakat","Kg"
NULL,,"boyun,yürek,karaciğer ve taşlıkları alınmamış %70'lik denilen",
NULL,,"tavuklar",
NULL,"0207.11.90.00.00","--- Tüyleri yolunmuş,içleri boşaltılmış,baş ve ayakları,boynu,yüreği,","Kg"
NULL,,"karaciğeri ve taşlığı alınmış %65'lik denilen tavuklar veya diğer",
NULL,,"şekilde bulunanlar",
NULL,"0207.12","-- Parçalanmamış (dondurulmuş):",
NULL,"0207.12.10.00.00","--- Tüyleri yolunmuş,içleri boşaltılmış,baş ve ayakları","Kg"
NULL,,"kesilmiş,boynu,karaciğeri,yüreği ve taşlığı alınmamış",
NULL,,"%70'lik denilen tavuklar",
NULL,"0207.12.90.00.00","--- Tüyleri yolunmuş,içleri boşaltılmış,baş ve ayakları","Kg"
NULL,,"kesilmiş,boynu,karaciğeri,yüreği ve taşlığı alınmış",
NULL,,"%65'lik denilen tavuklar veya diğer şekilde bulunanlar",
NULL,"0207.13","-- Parça halindeki etler ve sakatat (taze veya soğutulmuş):",
NULL,,"--- Parçalar:",
NULL,"0207.13.10.00.00","---- Kemiksiz","Kg"
NULL,,"---- Kemikli:",
NULL,"0207.13.20.00.00","----- Yarım veya çeyrekler","Kg"
NULL,"0207.13.30.00.00","----- Bütün kanatlar (kanat uçları olsun olmasın)","Kg"
NULL,"0207.13.40.00.00","----- Sırt,boyun,boyunlu sırt,kanat ve kuyruk uçları","Kg"
NULL,"0207.13.50.00.00","----- Göğüs ve göğüs parçaları","Kg"
NULL,"0207.13.60.00.00","----- But ve but parçaları","Kg"
NULL,"0207.13.70.00.00","----- Diğerleri","Kg"
NULL,,"--- Sakatat:",
NULL,"0207.13.91.00.00","---- Karaciğerler","Kg"
NULL,"0207.13.99.00.00","---- Diğerleri","Kg"
NULL,"0207.14","-- Parça halindeki etler ve sakatat (dondurulmuş):",
NULL,,"--- Parçalar:",
NULL,"0207.14.10.00.00","---- Kemiksiz","Kg"
NULL,,"---- Kemikli:",
NULL,"0207.14.20.00.00","----- Yarım veya çeyrekler","Kg"
NULL,"0207.14.30.00.00","----- Bütün kanatlar (kanat uçları olsun olmasın)","Kg"
NULL,"0207.14.40.00.00","----- Sırt,boyun,boyunlu sırt,kanat ve kuyruk uçları","Kg"
NULL,"0207.14.50.00.00","----- Göğüs ve göğüs parçaları","Kg"
NULL,"0207.14.60.00.00","----- But ve but parçaları","Kg"
NULL,"0207.14.70.00.00","----- Diğerleri","Kg"
NULL,,"--- Sakatat:",
NULL,"0207.14.91.00.00","---- Karaciğerler","Kg"
NULL,"0207.14.99.00.00","---- Diğerleri","Kg"
NULL,,"- Hindiler:",
NULL,"0207.24","-- Parçalanmamış (taze veya soğutulmuş):",
NULL,"0207.24.10.00.00","--- Tüyleri yolunmuş,içleri boşaltılmış,baş ve ayakları kesilmiş,boyun,","Kg"
NULL,,"yürek,karaciğer ve taşlığı alınmamış %80'lik denilen hindiler",
NULL,"0207.24.90.00.00","--- Tüyleri yolunmuş,içleri boşaltılmış,baş ve ayakları kesilmiş,boyun,","Kg"
NULL,,"yürek,karaciğer ve taşlığı alınmış %73'lük denilen hindiler veya",
NULL,,"diğer şekilde bulunanlar",
NULL,"0207.25","-- Parçalanmamış (dondurulmuş):",
NULL,"0207.25.10.00.00","--- Tüyleri yolunmuş,içleri boşaltılmış,baş ve ayakları kesilmiş,boyun,","Kg"
NULL,,"yürek,karaciğer ve taşlığı alınmamış %80'lik denilen hindiler",
NULL,"0207.25.90.00.00","--- Tüyleri yolunmuş,içleri boşaltılmış,baş ve ayakları kesilmiş,boyun,","Kg"
NULL,,"yürek,karaciğer ve taşlığı alınmış %73'lük denilen hindiler veya",
NULL,,"diğer şekilde bulunanlar",
NULL,"0207.26","-- Parça halindeki etler ve sakatat (taze veya soğutulmuş):",
NULL,,"--- Parçalar:",
NULL,"0207.26.10.00.00","---- Kemiksiz","Kg"
NULL,,"---- Kemikli:",
